;artist;bbscore;votescore;black;male;song_no;album_no;first_album;career;bbscore_per_year;unique_words;total_words;avg_wordpersong;avg_uniquewordpersong;charlengs;avg_wordlength;r50_unique_words;r50_total_words;profan_words;gang_words;brand_words;profan_percent;gang_percent;brand_percent;bb100;vote100;positive;negative;anger;anticipation;disgust;fear;joy;sadness;surprise;trust;positive_ps;negative_ps;anger_ps;anticipation_ps;disgust_ps;fear_ps;joy_ps;sadness_ps;surprise_ps;trust_ps;positive_percent;negative_percent;anger_percent;anticipation_percent;disgust_percent;fear_percent;joy_percent;sadness_percent;surprise_percent;trust_percent;profan_ps;gang_ps;brand_ps;topic_music;topic_love;topic_life;topic_real;topic_money;topic_street;topic_sex;topic_music_percent;topic_love_percent;topic_life_percent;topic_real_percent;topic_money_percent;topic_street_percent;topic_sex_percent
62;fettywap;90.0;;1.0;1;136;8;2014.0;5.0;18.0;3084;30706;225.77941176470588;105.02272727272728;147270;4.796131049306324;1827;11032;1288;939;70;0.04194619943984889;0.030580342604051326;0.0022796847521657005;18.907563025210084;0.0;3785;2615;2159;1249;1366;1381;2531;1092;922;1415;27.830882352941174;19.227941176470583;15.875;9.183823529411764;10.044117647058824;10.154411764705884;18.610294117647054;8.029411764705884;6.779411764705883;10.404411764705884;0.12326581124210252;0.08516250895590438;0.0703119911417964;0.04067608936364228;0.0444864195922621;0.044974923467726184;0.08242688725330555;0.03556308213378493;0.03002670487852537;0.046082198918778086;9.470588235294116;6.904411764705883;0.5147058823529411;1;50;5;6;77;1;5;0.007352941176470588;0.36764705882352944;0.03676470588235294;0.04411764705882353;0.5661764705882353;0.007352941176470588;0.03676470588235294
63;florida;38.0;;1.0;1;83;5;2008.0;11.0;3.4545454545454546;3134;20393;245.69879518072293;119.08641975308642;99068;4.8579414504977185;2482;12615;128;484;53;0.006276663561025842;0.02373363409012897;0.0025989310057372627;7.9831932773109235;0.0;2081;1265;825;1144;493;631;1417;568;745;1104;25.07228915662651;15.240963855421686;9.93975903614458;13.783132530120485;5.9397590361445785;7.602409638554218;17.072289156626507;6.8433734939759026;8.975903614457833;13.301204819277107;0.10204481930074047;0.062031089099200715;0.04045505810817437;0.05609768057666847;0.0241749619967636;0.03094198989849458;0.06948462707791889;0.027852694552052176;0.036532143382533216;0.05413622321384789;1.5421686746987953;5.831325301204818;0.6385542168674698;0;46;16;10;8;1;2;0.0;0.5542168674698795;0.1927710843373494;0.12048192771084337;0.0963855421686747;0.012048192771084338;0.024096385542168676
64;frankocean;79.0;;1.0;1;162;5;2011.0;8.0;9.875;3478;23747;146.58641975308643;76.26708074534163;121467;5.1150461110877155;1805;7315;199;323;70;0.008380005895481534;0.013601718111761486;0.002947740767254811;16.596638655462186;0.0;2536;1503;760;1188;508;801;1736;788;608;1202;15.654320987654321;9.277777777777779;4.691358024691358;7.333333333333332;3.135802469135802;4.9444444444444455;10.716049382716047;4.864197530864198;3.7530864197530867;7.419753086419753;0.10679243693940288;0.06329220533119972;0.032004042615909375;0.05002737187855308;0.021392175853792057;0.03373057649387291;0.07310397102791931;0.0331831389228113;0.025603234092727502;0.050616920032004034;1.228395061728395;1.9938271604938271;0.4320987654320987;16;37;83;15;4;4;3;0.09876543209876543;0.22839506172839505;0.5123456790123457;0.09259259259259259;0.024691358024691357;0.024691358024691357;0.018518518518518517
65;frenchmontana;53.0;;0.0;1;176;9;2012.0;7.0;7.571428571428571;5150;44944;255.3636363636364;134.18128654970758;223393;4.970474368102527;2533;12543;1890;1823;149;0.04205233179067284;0.04056158775364899;0.003315236739053044;11.134453781512606;0.0;3796;3974;2845;2283;1650;2031;2242;1777;1451;2267;21.568181818181817;22.57954545454545;16.164772727272727;12.971590909090908;9.375;11.539772727272727;12.738636363636365;10.096590909090908;8.244318181818182;12.880681818181818;0.08446066215735137;0.08842114631541474;0.06330099679601281;0.05079654681381274;0.0367123531505874;0.045189569241723036;0.04988430046279815;0.039538091847632614;0.03228462086151655;0.05044054823780705;10.738636363636363;10.357954545454543;0.8465909090909091;3;20;15;31;63;21;26;0.017045454545454544;0.11363636363636363;0.08522727272727272;0.17613636363636365;0.35795454545454547;0.11931818181818182;0.14772727272727273
66;future;233.0;;1.0;1;347;21;2010.0;9.0;25.88888888888889;7539;88297;254.45821325648416;132.58771929824562;447990;5.07367181217935;2767;12027;3970;2841;586;0.0449618899849372;0.032175498601311484;0.006636692073343375;48.94957983193277;0.0;7037;7571;5352;3900;3390;4188;3942;3098;2206;4373;20.279538904899134;21.818443804034587;15.423631123919305;11.23919308357349;9.769452449567725;12.06916426512968;11.360230547550433;8.927953890489912;6.357348703170028;12.602305475504325;0.07969693194559271;0.08574470253802507;0.0606136108814569;0.04416911106832622;0.03839315039016048;0.04743083003952569;0.044644778418292806;0.035086129766583235;0.02498386128634042;0.049526031461997584;11.440922190201725;8.187319884726225;1.6887608069164266;10;37;48;33;193;5;45;0.02881844380403458;0.10662824207492795;0.138328530259366;0.09510086455331412;0.5561959654178674;0.01440922190201729;0.12968299711815562
67;geazy;71.0;;0.0;1;164;10;2009.0;10.0;7.1;5349;40294;245.69512195121948;146.9056603773585;206638;5.128257308780464;2808;12643;1303;860;150;0.03233732069290713;0.021343128009132874;0.003722638606244106;14.915966386554622;0.0;3555;3235;2146;2006;1386;1628;2030;1541;1144;2136;21.67682926829268;19.72560975609756;13.085365853658535;12.231707317073171;8.451219512195122;9.926829268292684;12.378048780487804;9.396341463414632;6.975609756097561;13.024390243902438;0.08822653496798531;0.08028490594133121;0.05325854965999901;0.04978408696083785;0.034397180721695536;0.04040303767310269;0.050379709137836896;0.03824390728148112;0.02839132377028838;0.05301037375291607;7.945121951219512;5.243902439024391;0.9146341463414634;26;11;77;12;11;4;24;0.15853658536585366;0.06707317073170732;0.4695121951219512;0.07317073170731707;0.06707317073170732;0.024390243902439025;0.14634146341463414
68;guccimane;114.0;;1.0;1;830;62;2005.0;14.0;8.142857142857142;10953;207965;250.56024096385545;141.76041666666666;1050649;5.052047219484048;2869;12210;10966;7455;3371;0.052730026687182935;0.035847378164595003;0.016209458322313852;23.94957983193277;0.0;15982;20333;14122;9039;10090;10507;9064;8790;5574;9869;19.25542168674699;24.497590361445784;17.014457831325302;10.890361445783133;12.156626506024097;12.65903614457831;10.920481927710844;10.590361445783133;6.715662650602408;11.890361445783133;0.07684946986271729;0.09777125958694972;0.06790565720193302;0.04346404443055322;0.04851777943403938;0.05052292453057005;0.04358425696631645;0.04226672757435145;0.026802586973769624;0.04745510061789243;13.212048192771087;8.981927710843374;4.0614457831325295;13;62;33;64;515;55;98;0.01566265060240964;0.0746987951807229;0.03975903614457831;0.07710843373493977;0.6204819277108434;0.06626506024096386;0.1180722891566265
69;iggyazalea;80.0;;0.0;0;83;6;2011.0;8.0;10.0;3045;18188;219.132530120482;118.26315789473685;90539;4.977952496151309;2247;10878;611;490;40;0.033593578183417634;0.02694084011436112;0.0021992522542335605;16.80672268907563;0.0;1615;1717;1254;985;829;938;1046;857;585;973;19.457831325301203;20.686746987951807;15.108433734939759;11.867469879518072;9.987951807228916;11.301204819277107;12.602409638554215;10.325301204819278;7.048192771084339;11.72289156626506;0.08879480976467999;0.0944029030129756;0.06894655817022212;0.05415658676050143;0.045579502968990535;0.051572465361777;0.05751044644820761;0.047118979546954036;0.032164064218165825;0.05349681108423136;7.36144578313253;5.903614457831326;0.4819277108433735;4;17;20;10;13;3;16;0.04819277108433735;0.20481927710843373;0.24096385542168675;0.12048192771084337;0.1566265060240964;0.03614457831325301;0.1927710843373494
70;jamiefoxx;120.0;;1.0;1;82;5;1994.0;25.0;4.8;2421;14882;181.48780487804882;88.84146341463415;73494;4.938449133181024;1794;9222;183;222;17;0.012296734309904585;0.014917349818572772;0.0011423195807015187;25.210084033613445;0.0;1685;1023;577;786;380;415;1260;426;459;747;20.548780487804876;12.475609756097562;7.036585365853658;9.585365853658537;4.634146341463413;5.060975609756096;15.365853658536587;5.1951219512195115;5.597560975609755;9.109756097560977;0.1132240290283564;0.0687407606504502;0.038771670474398605;0.052815481790081976;0.02553420239215159;0.027886036823007658;0.08466603951081844;0.028625184786990995;0.030842628678941;0.05019486628141378;2.231707317073171;2.7073170731707314;0.2073170731707317;0;48;30;3;1;0;0;0.0;0.5853658536585366;0.36585365853658536;0.036585365853658534;0.012195121951219513;0.0;0.0
71;jayz;343.0;42.0;1.0;1;283;16;1996.0;23.0;14.91304347826087;8944;82855;292.773851590106;189.05338078291814;428690;5.173978637378553;3628;14457;2644;2154;295;0.03191117011646853;0.02599722406613964;0.003560436907851065;72.05882352941177;84.0;6698;6846;4056;3671;3024;3579;3533;3153;2162;3930;23.667844522968196;24.190812720848054;14.332155477031806;12.971731448763249;10.685512367491167;12.646643109540634;12.484098939929329;11.141342756183743;7.63957597173145;13.886925795053005;0.08084002172469977;0.08262627481745217;0.04895299016353871;0.044306318266851726;0.03649749562488685;0.043195944722708345;0.042640757950636654;0.03805443244221833;0.0260937782873695;0.047432261179168426;9.342756183745584;7.6113074204946995;1.0424028268551238;78;49;59;10;8;99;6;0.2756183745583039;0.17314487632508835;0.20848056537102475;0.0353356890459364;0.028268551236749116;0.3498233215547703;0.02120141342756184
