;YEAR;profan_words;gang_words;brand_words;song_no;album_no;unique_words;total_words;profan_percent;gang_percent;brand_percent;avg_wordpersong;charlengs;avg_wordlength;avg_uniquewordpersong;positive;negative;anger;anticipation;disgust;fear;joy;sadness;surprise;trust;profan_ps;gang_ps;brand_ps;positive_ps;negative_ps;anger_ps;anticipation_ps;disgust_ps;fear_ps;joy_ps;sadness_ps;surprise_ps;trust_ps;topic_music;topic_love;topic_life;topic_real;topic_money;topic_street;topic_sex;topic_music_percent;topic_love_percent;topic_life_percent;topic_real_percent;topic_money_percent;topic_street_percent;topic_sex_percent
10;1996.0;2221;2218;109;182;11;8165;62800;0.03536624203821656;0.03531847133757962;0.0017356687898089172;345.05494505494505;335806;5.3472292993630575;225.49411764705883;4912;6441;3773;2760;2539;3610;2429;2780;1571;2906;12.203296703296704;12.186813186813184;0.5989010989010989;26.98901098901099;35.39010989010989;20.73076923076923;15.164835164835164;13.95054945054945;19.83516483516484;13.346153846153848;15.274725274725276;8.631868131868131;15.967032967032967;49.0;7.0;25.0;7.0;0.0;91.0;3.0;0.2692307692307692;0.038461538461538464;0.13736263736263737;0.038461538461538464;0.0;0.5;0.016483516483516484
11;1997.0;2760;2121;133;235;12;7313;67590;0.04083444296493565;0.03138038171327119;0.0019677467080929127;287.61702127659566;353495;5.229989643438379;176.36683417085428;5259;6833;3858;2971;2824;3679;2726;2921;1946;3126;11.744680851063832;9.025531914893618;0.5659574468085107;22.378723404255318;29.07659574468085;16.417021276595744;12.642553191489364;12.017021276595745;15.655319148936169;11.6;12.429787234042553;8.280851063829786;13.302127659574467;51.0;18.0;32.0;7.0;1.0;121.0;5.0;0.2170212765957447;0.07659574468085106;0.13617021276595745;0.029787234042553193;0.00425531914893617;0.5148936170212766;0.02127659574468085
12;1998.0;3039;2691;105;345;21;8914;86457;0.03515042159686318;0.03112529928172386;0.0012144765606023804;250.6;444420;5.140358791075332;158.11538461538458;6386;8225;4685;3642;3300;4150;3463;3430;2205;3638;8.808695652173913;7.8;0.3043478260869565;18.51014492753623;23.84057971014493;13.579710144927535;10.556521739130435;9.565217391304348;12.028985507246375;10.03768115942029;9.942028985507246;6.391304347826088;10.544927536231883;69.0;39.0;71.0;7.0;3.0;146.0;10.0;0.2;0.11304347826086956;0.20579710144927535;0.020289855072463767;0.008695652173913044;0.42318840579710143;0.028985507246376812
13;1999.0;3816;3103;131;270;15;8967;88054;0.04333704317804983;0.03523973925091421;0.0014877234424330525;326.1259259259258;457375;5.194255797578759;203.98360655737702;6307;8912;5312;3452;3764;4904;3094;3978;2382;3506;14.133333333333333;11.492592592592592;0.4851851851851852;23.35925925925926;33.00740740740741;19.674074074074074;12.785185185185185;13.940740740740743;18.16296296296296;11.45925925925926;14.733333333333333;8.822222222222223;12.985185185185184;58.0;13.0;30.0;5.0;2.0;145.0;17.0;0.21481481481481482;0.04814814814814815;0.1111111111111111;0.018518518518518517;0.007407407407407408;0.5370370370370371;0.06296296296296296
14;2000.0;4792;3318;226;385;24;10069;112883;0.042451033370835285;0.029393265593579188;0.002002072942781464;293.2025974025974;575348;5.0968524932895125;181.30978260869568;8072;10681;6145;4073;4502;5199;4187;4390;2904;4436;12.446753246753245;8.618181818181819;0.5870129870129871;20.966233766233767;27.742857142857147;15.96103896103896;10.57922077922078;11.693506493506494;13.503896103896105;10.875324675324675;11.402597402597404;7.542857142857143;11.522077922077925;87.0;53.0;46.0;9.0;1.0;166.0;23.0;0.22597402597402597;0.13766233766233765;0.11948051948051948;0.023376623376623377;0.0025974025974025974;0.43116883116883115;0.05974025974025974
15;2001.0;3385;3354;154;316;21;9280;91829;0.03686199348789598;0.0365244095002668;0.0016770301320933475;290.59810126582283;472351;5.143810778730031;181.83974358974356;7153;8836;5494;3665;4013;4817;3695;3838;2359;4016;10.712025316455696;10.613924050632912;0.4873417721518987;22.63607594936709;27.962025316455694;17.38607594936709;11.598101265822786;12.699367088607595;15.24367088607595;11.693037974683545;12.145569620253164;7.4651898734177236;12.708860759493673;62.0;27.0;60.0;9.0;2.0;147.0;9.0;0.1962025316455696;0.08544303797468354;0.189873417721519;0.028481012658227847;0.006329113924050633;0.4651898734177215;0.028481012658227847
16;2002.0;3878;3545;283;445;28;10348;120743;0.032117803930662644;0.029359880075863605;0.00234382117389828;271.3325842696629;624142;5.1691775092551975;173.71942446043167;10113;10855;6258;5168;4390;5917;5529;4934;3040;5770;8.714606741573034;7.966292134831461;0.6359550561797753;22.725842696629208;24.39325842696629;14.062921348314607;11.613483146067415;9.865168539325843;13.296629213483145;12.424719101123594;11.087640449438203;6.831460674157302;12.966292134831463;90.0;57.0;105.0;7.0;11.0;158.0;17.0;0.20224719101123595;0.12808988764044943;0.23595505617977527;0.015730337078651686;0.024719101123595506;0.3550561797752809;0.038202247191011236
17;2003.0;2428;2334;139;365;25;8868;91846;0.02643555516843412;0.025412102867843997;0.0015134028700215581;251.6328767123288;461791;5.0278836312958655;152.82352941176467;7366;7366;4135;3793;2928;3798;4169;3245;2186;3962;6.652054794520548;6.3945205479452065;0.3808219178082192;20.180821917808217;20.180821917808217;11.32876712328767;10.391780821917807;8.021917808219179;10.405479452054797;11.421917808219176;8.89041095890411;5.9890410958904114;10.854794520547943;76.0;69.0;91.0;15.0;2.0;100.0;12.0;0.20821917808219179;0.18904109589041096;0.2493150684931507;0.0410958904109589;0.005479452054794521;0.273972602739726;0.03287671232876712
18;2004.0;3967;3614;257;518;31;10539;139611;0.028414666466109406;0.0258862124044667;0.0018408291610259933;269.519305019305;706365;5.059522530459634;164.4620123203285;11556;10570;6047;5757;4407;5581;6183;4679;3366;6706;7.6583011583011595;6.976833976833976;0.4961389961389962;22.308880308880312;20.405405405405407;11.673745173745171;11.113899613899612;8.507722007722009;10.774131274131275;11.936293436293434;9.032818532818533;6.498069498069498;12.945945945945946;108.0;107.0;86.0;42.0;12.0;143.0;20.0;0.2084942084942085;0.20656370656370657;0.16602316602316602;0.08108108108108109;0.023166023166023165;0.27606177606177607;0.03861003861003861
19;2005.0;4570;4379;434;567;34;10566;150221;0.0304218451481484;0.02915038509928705;0.002889076760239913;264.9400352733686;749055;4.986353439266148;160.15976331360946;12113;12607;7461;6154;5222;6306;6513;5541;3809;6471;8.059964726631394;7.72310405643739;0.7654320987654321;21.363315696649032;22.234567901234566;13.158730158730158;10.853615520282187;9.209876543209877;11.121693121693122;11.486772486772487;9.772486772486774;6.7178130511463845;11.412698412698411;67.0;158.0;79.0;37.0;40.0;170.0;16.0;0.11816578483245149;0.2786596119929453;0.13932980599647266;0.06525573192239859;0.07054673721340388;0.2998236331569665;0.02821869488536155
